category,name,model,contidition,price,stock
COMBINE,2016 CASE IH 7240,7240,Used,"$ 214,500 USD",3072542
COMBINE,2018 CASE IH 8240,8240,Used,"$ 212,500 USD",2961274
COMBINE,2016 CASE IH 8240,8240,Used,"$ 212,500 USD",3060134
COMBINE,2017 CASE IH 8240,8240,Used,"$ 212,000 USD",3066145
2WD &amp; MFWD TRACTOR,2018 CASE IH 280,280,Used,"$ 211,470 USD",3080926
2WD &amp; MFWD TRACTOR,2017 JOHN DEERE 8295R,8295R,Used,"$ 209,880 USD",2971197
2WD &amp; MFWD TRACTOR,2016 CASE IH 380 MAGNUM TRACK,380 MAGNUM TRACK,Used,"$ 209,800 USD",3062950
4WD TRACTOR,2015 CASE IH 370,370,Used,"$ 206,700 USD",3069851
COMBINE,2017 CASE IH 8240,8240,Used,"$ 206,700 USD",3066146
4WD TRACTOR,2014 CASE IH 420 ROW TRAC,420 ROW TRAC,Used,"$ 201,400 USD",3085632
SPRAYER- SELF PROPELLED,2016 ROGATOR RG1300,RG1300,Used,"$ 199,950 USD",2988604
4WD TRACTOR,2013 CASE IH 450 QUAD,450 QUAD,Used,"$ 199,900 USD",2941618
4WD TRACTOR,2016 CASE IH 620,620,Used,"$ 199,810 USD",3076550
4WD TRACTOR,2012 CASE IH 500,500,Used,"$ 196,630 USD",3080546
FORAGE HARVESTERS,2016 NEW HOLLAND FR850,FR850,Offers available,"$ 196,100 USD",3016018
4WD TRACTOR,2012 CASE IH STX400,STX400,Used,"$ 195,300 ",3068310
COMBINE,2015 CASE IH 8240,8240,Used,"$ 195,040 USD",3073049
PLANTER,2018 HORSCH ANDERSON SW2430,SW2430,Used,"$ 193,980 USD",2978848
PLANTER,2018 HORSCH ANDERSON SW2430,SW2430,Used,"$ 193,980 USD",2978846
COMBINE,2016 CASE IH 8240,8240,Used,"$ 192,500 USD",3073248
APPLICATOR,2016 CASE IH 3540,3540,Used,"$ 190,900 USD",3070662
COMBINE,2015 CASE IH 7240,7240,Used,"$ 189,500 USD",3025356
4WD TRACTOR,2009 JOHN DEERE 9530,9530,Used,"$ 184,500 USD",3067591
COMBINE,2013 CASE IH 9230,9230,Used,"$ 180,200 USD",3080890
COMBINE,2017 CASE IH 8240,8240,Used,"$ 179,988 ",3028305
2WD &amp; MFWD TRACTOR,2019 CASE IH 180,180,Used,"$ 179,988 USD",3077291
2WD &amp; MFWD TRACTOR,2019 CASE IH 180,180,Used,"$ 179,140 USD",3077310
2WD &amp; MFWD TRACTOR,2019 CASE IH 180,180,Used,"$ 179,140 USD",3077321
4WD TRACTOR,2012 JOHN DEERE 9360R,9360R,Used,"$ 176,490 USD",3072144
APPLICATOR,2016 TERRAGATOR 9300B,9300B,Used,"$ 175,960 USD",2852735
COMBINE,2014 CASE IH 9230,9230,Used,"$ 175,000 USD",2761940
PLANTER,CASE IH 1265,1265,Used,"$ 174,900 USD",3085763
4WD TRACTOR,2009 CASE IH 485,485,Used,"$ 174,500 USD",3085126
COMBINE,2013 CASE IH 8230,8230,Used,"$ 172,250 USD",3073676
COMBINE,2017 CASE IH 8240,8240,Used,"$ 171,770 USD",3024430
4WD TRACTOR,2011 CASE IH STX500Q,STX500Q,Used,"$ 169,950 USD",2950108
COMBINE,2015 CASE IH 7240,7240,Used,"$ 169,600 USD",2295330
4WD TRACTOR,2009 CASE IH STX535,STX535,Used,"$ 169,600 USD",3074688
MANURE SPREADER,2018 BUNNING 380HDHBD,380HDHBD,Used,"$ 169,500 USD",2941548
COMBINE,2014 CASE IH 6140,6140,Offers available,"$ 169,500 USD",2929246
4WD TRACTOR,2010 CASE IH 535Q,535Q,Used,"$ 169,000 USD",2908413
COMBINE,2015 CASE IH 8240,8240,Used,"$ 166,420 USD",3004947
COMBINE,2013 CASE IH 8230,8230,Used,"$ 161,650 USD",3073681
2WD &amp; MFWD TRACTOR,2015 CASE IH 340,340,Used,"$ 161,000 USD",2969706
COMBINE,2015 CASE IH 6140,6140,Used,"$ 159,900 USD",3064165
COMBINE,2015 CASE IH 7140,7140,Used,"$ 159,900 USD",3071525
COMBINE,2015 CASE IH 7140,7140,Used,"$ 159,900 USD",3071522
COMBINE,2015 CASE IH 8240,8240,Used,"$ 159,000 USD",3081739
COMBINE,2014 CASE IH 7230,7230,Used,"$ 157,940 USD",3080147
4WD TRACTOR,2008 CASE IH STX485Q,STX485Q,Used,"$ 156,000 USD",3064287
COMBINE,2013 CASE IH 9230,9230,Used,"$ 155,820 USD",2986645
2WD &amp; MFWD TRACTOR,2017 JOHN DEERE 6155R,6155R,Used,"$ 154,000 USD",3069478
4WD TRACTOR,2016 CASE IH 370,370,Used,"$ 151,580 USD",2726700
COMBINE,2014 CASE IH 7230,7230,Used,"$ 150,520 USD",3070631
COMBINE,2011 CASE IH AF9120,AF9120,Used,"$ 150,000 USD",3027218
2WD &amp; MFWD TRACTOR,2016 CASE IH 220,220,Used,"$ 149,438 USD",3074670
PLANTER,CASE IH 2150,2150,Used,"$ 149,000 USD",2824982
COMBINE,2012 CASE IH 7230,7230,Used,"$ 147,500 USD",3076232
COMBINE,2014 CLAAS LEXION 740,LEXION 740,Used,"$ 145,845 USD",2925413
4WD TRACTOR,2007 CASE IH STX530Q,STX530Q,Used,"$ 145,220 USD",3070182
4WD TRACTOR,2008 CASE IH 535Q,535Q,Used,"$ 145,220 USD",2246429
2WD &amp; MFWD TRACTOR,2019 CASE IH PUMA 165,PUMA 165,Used,"$ 145,000 USD",3081493
COMBINE,2014 CASE IH 8230,8230,Used,"$ 143,100 USD",3061070
2WD &amp; MFWD TRACTOR,2011 CASE IH 340,340,Used,"$ 143,100 USD",2953926
AIR DRILL,2018 CASE IH 500T,500T,Used,"$ 142,040 USD",2721640
SPRAYER- SELF PROPELLED,2015 CASE IH 3340,3340,Used,"$ 142,000 USD",2825566
2WD &amp; MFWD TRACTOR,2014 CASE IH 250,250,Used,"$ 141,500 USD",3074447
COMBINE,2014 PICKETT TMB,TMB,Used,"$ 139,920 USD",3067018
2WD &amp; MFWD TRACTOR,2014 NEW HOLLAND T8360,T8360,Used,"$ 139,920 USD",3069223
4WD TRACTOR,2008 NEW HOLLAND T9050,T9050,Used,"$ 139,920 USD",3062079
